ID,City,Place,Type,Best Time,Entry Fee
1,Pune,Shaniwar Wada,Fort,Oct-Feb,25
2,Pune,Aga Khan Palace,Monument,Oct-Feb,25
3,Pune,Sinhagad Fort,Hill Fort,Jul-Feb,0
4,Pune,Dagdusheth Halwai Ganpati Temple,Temple,All Year,0
5,Pune,Raja Dinkar Kelkar Museum,Museum,Oct-Mar,50
6,Pune,Pataleshwar Cave Temple,Temple,All Year,0
7,Pune,Parvati Hill,Hill/Temple,Oct-Feb,0
8,Pune,Lal Mahal,Historic Site,Oct-Feb,0
9,Pune,Rajiv Gandhi Zoological Park,Zoo,Oct-Mar,50
10,Pune,Okayama Friendship Garden,Garden,All Year,10
11,Pune,Vetal Tekdi,Hill,Oct-Feb,0
12,Pune,Khadakwasla Dam,Dam,Jul-Feb,0
13,Pune,Mulshi Dam,Dam,Jul-Feb,0
14,Pune,Empress Garden,Garden,Oct-Mar,30
15,Pune,Chaturshringi Temple,Temple,All Year,0
16,Pune,Bund Garden,Garden,Oct-Feb,0
17,Pune,Panshet Dam,Dam,Jul-Feb,0
18,Pune,Katraj Lake,Lake,All Year,0
19,Pune,Katraj Jain Temple,Temple,All Year,0
20,Pune,National War Memorial,Memorial,All Year,0
21,Pune,Osho Ashram,Ashram,All Year,100
22,Pune,Karla Caves,Caves,Oct-Mar,40
23,Pune,Bhaja Caves,Caves,Oct-Mar,40
24,Pune,Lohagad Fort,Fort,Jul-Feb,20
25,Pune,Visapur Fort,Fort,Jul-Feb,20
26,Pune,Tikona Fort,Fort,Jul-Feb,20
27,Pune,Torna Fort,Fort,Jul-Feb,20
28,Pune,Purandar Fort,Fort,Jul-Feb,20
29,Pune,Rajgad Fort,Fort,Jul-Feb,20
30,Pune,Shivneri Fort,Fort,Jul-Feb,20
31,Pune,Jejuri Temple,Temple,All Year,0
32,Pune,Diamond Water Park,Water Park,All Year,800
33,Pune,Sentosa Water Park,Water Park,All Year,900
34,Pune,Pune University,Historic Campus,All Year,0
35,Mumbai,Gateway of India,Monument,Nov-Feb,0
36,Mumbai,Marine Drive,Seafront,Oct-Mar,0
37,Mumbai,Elephanta Caves,Caves,Nov-Feb,40
38,Mumbai,CSMT Railway Station,Heritage Site,All Year,0
39,Mumbai,Siddhivinayak Temple,Temple,All Year,0
40,Mumbai,Haji Ali Dargah,Dargah,All Year,0
41,Mumbai,Juhu Beach,Beach,Oct-Mar,0
42,Mumbai,Girgaon Chowpatty,Beach,Oct-Mar,0
43,Mumbai,Sanjay Gandhi National Park,National Park,Oct-Mar,60
44,Mumbai,Kanheri Caves,Caves,Oct-Mar,40
45,Mumbai,Bandra-Worli Sea Link,Bridge,All Year,0
46,Mumbai,Colaba Causeway,Market,All Year,0
47,Mumbai,Global Vipassana Pagoda,Pagoda,All Year,0
48,Mumbai,Nehru Science Centre,Museum,All Year,70
